GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
model,pl.edu.agh.kis.pz1,Library,0,347,0,16,0,87,0,16,0,8
model,pl.edu.agh.kis.pz1,Writer,12,79,0,2,2,21,4,6,4,5
model,pl.edu.agh.kis.pz1,Reader,12,79,0,2,2,21,4,6,4,5
